category_title,source,domain_and_series,source_line,legacy_rejection_basis_seed,required_v16_2_6_action
Lowest youth unemployment rate,ILOSTAT,Labor · UNE_3EAP_SEX_AGE_DSB_RT_A,1784,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest energy intensity level of primary energy,World Bank,Energy · EG.EGY.PRIM.PP.KD,1790,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net financial flows, IBRD",World Bank,Economy · DT.NFL.MIBR.CD,1792,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest skilled birth-attendance rate,WHO,Maternal Health · MDG_0000000025,1796,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest expense,World Bank,Government · GC.XPN.TOTL.CN,1797,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Portugal",World Bank,Economy · DC.DAC.PRTL.CD,1800,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Czechia",World Bank,Economy · DC.DAC.CZEL.CD,1801,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net incurrence of liabilities, total",World Bank,Government · GC.LBL.TOTL.CN,1802,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, New Zealand",World Bank,Economy · DC.DAC.NZLL.CD,1804,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest gross fixed capital formation, private sector",World Bank,Economy · NE.GDI.FPRV.CN,1805,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest gross fixed capital formation, private sector",World Bank,Economy · NE.GDI.FPRV.ZS,1806,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest other taxes,World Bank,Government · GC.TAX.OTHR.CN,1809,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest pPG, IDA",World Bank,Economy · DT.DOD.MIDA.CD,1813,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest cPIA trade rating,World Bank,Government · IQ.CPA.TRAD.XQ,1815,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Most other people needing international protection,UNHCR,Displacement · population:coa:oip,1816,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest survival to the last grade of primary school,UNESCO UIS,Education · SR.1.GLAST.CP,1817,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest lower-secondary reading proficiency,UNESCO UIS,Education · READ.LOWERSEC,1819,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest net acquisition of financial assets,World Bank,Government · GC.AST.TOTL.CN,1820,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest portfolio investment, bonds (PPG + PNG)",World Bank,Economy · DT.NFL.BOND.CD,1821,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest pPG, bonds",World Bank,Economy · DT.NFL.PBND.CD,1822,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Most internally displaced people returned,UNHCR,Displacement · solutions:coa:returned_idps,1826,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest youth literacy rate,UNESCO UIS,Education · LR.AG15T24,1827,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest investment in energy with private participation,World Bank,Energy · IE.PPI.ENGY.CD,1828,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest public private partnerships investment in energy,World Bank,Infrastructure · IE.PPN.ENGY.CD,1829,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest primary mathematics proficiency,UNESCO UIS,Education · MATH.PRIMARY,1830,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest firms that introduced a new product/service and process, and spent on R&D",World Bank,Development · IC.FRM.NPRD.ZS,1831,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest lower-secondary mathematics proficiency,UNESCO UIS,Education · MATH.LOWERSEC,1832,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest net bilateral aid flows from DAC donors, Lithuania",World Bank,Development · DC.DAC.LTUL.CD,1833,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest b-READY: Business Entry Pillar 3: Operational Efficiency of Business Entry,World Bank,Development · IC.BRE.BE.P3,1835,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest b-READY: Labor Pillar 1: Quality of Labor Regulations,World Bank,Development · IC.BRE.LB.P1,1844,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest b-READY: Labor Pillar 2: Adequacy of Public Services for Labor,World Bank,Development · IC.BRE.LB.P2,1845,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest b-READY: Pillar 1: Regulatory Framework,World Bank,Development · IC.BRE.P1.RF,1847,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest b-READY: Pillar 2: Public Services,World Bank,Development · IC.BRE.P2.PS,1848,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest b-READY: Pillar 3: Operational Efficiency,World Bank,Development · IC.BRE.P3.OE,1849,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest b-READY: Taxation Pillar 1: Quality of Regulations on Taxation,World Bank,Development · IC.BRE.TX.P1,1850,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net ODA provided, total",World Bank,Development · DC.ODA.TOTL.KD,1855,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net ODA provided, total",World Bank,Development · DC.ODA.TOTL.CD,1856,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest adult literacy rate,UNESCO UIS,Education · LR.AG15T99,1857,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest net official flows from UN agencies, UNHCR",World Bank,Economy · DT.NFL.UNCR.CD,1858,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest pPG, other private creditors",World Bank,Economy · DT.NFL.PROP.CD,1859,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net financial flows, IMF nonconcessional",World Bank,Economy · DT.NFL.IMFN.CD,1871,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net official flows from UN agencies, SDGFUND",World Bank,Development · DT.NFL.SDGF.CD,1872,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net official flows from UN agencies, UNIDO",World Bank,Development · DT.NFL.UNIDO.CD,1874,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net official flows from UN agencies, UNPBF",World Bank,Economy · DT.NFL.UNPB.CD,1875,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil,World Bank,Environment · EN.GHG.CO2.LU.OS.MT.CE.AR5,1878,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest net official flows from UN agencies, CERF",World Bank,Development · DT.NFL.CERF.CD,1879,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest central government debt, total",World Bank,Government · GC.DOD.TOTL.CN,1880,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Iceland",World Bank,Economy · DC.DAC.ISLL.CD,1882,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest pNG, bonds",World Bank,Economy · DT.NFL.PNGB.CD,1883,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Largest taxes on exports,World Bank,Government · GC.TAX.EXPT.CN,1884,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net ODA provided, to the least developed countries",World Bank,Development · DC.ODA.TLDC.CD,1886,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Slovenia",World Bank,Economy · DC.DAC.SVNL.CD,1888,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Slovak Republic",World Bank,Economy · DC.DAC.SVKL.CD,1889,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Estonia",World Bank,Development · DC.DAC.ESTL.CD,1890,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Lowest alcohol-attributable death rate,WHO,Health · SA_0000001807_AA,1893,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest renewable energy consumption,World Bank,Energy · EG.FEC.RNEW\.ZS,1895,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest investment in transport with private participation,World Bank,Infrastructure · IE.PPI.TRAN.CD,1896,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest public private partnerships investment in transport,World Bank,Infrastructure · IE.PPN.TRAN.CD,1897,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest primary reading proficiency,UNESCO UIS,Education · READ.PRIMARY,1898,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest investment in ICT with private participation,World Bank,Infrastructure · IE.PPI.ICTI.CD,1899,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest public private partnerships investment in ICT,World Bank,Infrastructure · IE.PPN.ICTI.CD,1900,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net official flows from UN agencies, UNEP",World Bank,Economy · DT.NFL.UNEP.CD,1901,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest collective-bargaining coverage,ILOSTAT,Labor · ILR_CBCT_NOC_RT_A,1902,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest net financial flows, IMF concessional",World Bank,Economy · DT.NFL.IMFC.CD,1903,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net bilateral aid flows from DAC donors, Greece",World Bank,Economy · DC.DAC.GRCL.CD,1905,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net official flows from UN agencies, UNCOVID",World Bank,Development · DT.NFL.UNCV.CD,1906,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
"Highest net official flows from UN agencies, UNCDF",World Bank,Development · DT.NFL.UNCD.CD,1907,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest doctor density,WHO,Healthcare · HWF_0001,1908,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Lowest cigarette-smoking rate,WHO,Health · Yth_curr_cig_smoking,1909,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest pharmacist density,WHO,Healthcare · HWF_0014,1910,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest antenatal-care coverage,WHO,Maternal Health · WHS4_154,1911,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest net official flows from UN agencies, WTO-ITC",World Bank,Development · DT.NFL.WITC.CD,1912,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest life expectancy,WHO,Health · WHOSIS_000001,1914,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest handwashing access,WHO,Infrastructure · WSH_HYGIENE_BASIC,1917,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest healthy life expectancy,WHO,Health · WHOSIS_000002,1918,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Lowest high-blood-pressure rate,WHO,Health · NCD_HYP_PREVALENCE_A,1919,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest investment in water and sanitation with private participation,World Bank,Infrastructure · IE.PPI.WATR.CD,1920,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest public private partnerships investment in water and sanitation,World Bank,Infrastructure · IE.PPN.WATR.CD,1921,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Highest hospital-bed density,WHO,Healthcare · GDO_q9x1_3,1922,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
"Highest net official flows from UN agencies, UNRWA",World Bank,Economy · DT.NFL.UNRW\.CD,1923,generic_v16_2_3_batch_reason,reason-aware re-review required; determine which reason actually applied
Lowest suicide rate,WHO,Health · MH_12,1924,generic_v15_rejected_only,full first-principles re-review; old status alone is not a sufficient reason
Highest mineral-rent dependence,World Bank,Resources · NY.GDP.MINR.RT.ZS,1926,category_specific_or_product_decision,presume authoritative; verify exact rationale and preserve unless explicitly reversed
Highest natural-gas-rent dependence,World Bank,Resources · NY.GDP.NGAS.RT.ZS,1927,category_specific_or_product_decision,presume authoritative; verify exact rationale and preserve unless explicitly reversed
Highest oil-rent dependence,World Bank,Resources · NY.GDP.PETR.RT.ZS,1928,category_specific_or_product_decision,presume authoritative; verify exact rationale and preserve unless explicitly reversed
Highest renewable electricity share,World Bank,Energy · EG.ELC.RNEW\.ZS,1929,category_specific_or_product_decision,presume authoritative; verify exact rationale and preserve unless explicitly reversed
Lowest road fatality rate,World Bank,Transport · SH.STA.TRAF.P5,1930,category_specific_or_product_decision,presume authoritative; verify exact rationale and preserve unless explicitly reversed
Most rail freight,World Bank,Transport · IS.RRS.GOOD.MT.K6,1931,category_specific_or_product_decision,presume authoritative; verify exact rationale and preserve unless explicitly reversed
Most rail passenger travel,World Bank,Transport · IS.RRS.PASG.KM,1932,category_specific_or_product_decision,presume authoritative; verify exact rationale and preserve unless explicitly reversed
Most resident patent applications,World Bank,Knowledge · IP.PAT.RESD,1933,category_specific_or_product_decision,presume authoritative; verify exact rationale and preserve unless explicitly reversed
